crash_date,crash_time,borough,zip_code,latitude,longitude,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,location.latitude,location.longitude,location.human_address,on_street_name,off_street_name,vehicle_type_code2,contributing_factor_vehicle_3,vehicle_type_code_3
2025-09-30T00:00:00.000,9:40,BROOKLYN,11229,40.6109,-73.950485,1611      E 23 ST,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4846574,Garbage or Refuse,40.6109,-73.950485,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,,,
2025-09-30T00:00:00.000,21:00,BROOKLYN,11219,40.63163,-74.00774,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,4846445,Bike,40.63163,-74.00774,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",63 ST,FORT HAMILTON PKWY,,,
2025-09-30T00:00:00.000,13:40,,,40.700222,-73.98639,,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,4846488,Sedan,40.700222,-73.98639,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",JAY STREET,SANDS STREET,Pick-up Truck,,
2025-09-30T00:00:00.000,22:45,,,40.813305,-73.9304,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,4846857,Sedan,40.813305,-73.9304,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",E 138 ST,GRAND CONC,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,1:55,BROOKLYN,11219,40.623997,-73.99778,6424      NEW UTRECHT AVE,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,4846349,Sedan,40.623997,-73.99778,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Motorcycle,,
2025-09-30T00:00:00.000,12:24,,,40.88643,-73.895805,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,4846733,Sedan,40.88643,-73.895805,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",MAJOR DEEGAN EXPRESSWAY,,Sedan,,
2025-09-30T00:00:00.000,15:52,BRONX,10454,40.808064,-73.9208,470       E 138 ST,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,4846392,Station Wagon/Sport Utility Vehicle,40.808064,-73.9208,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Sedan,,
2025-09-30T00:00:00.000,8:38,QUEENS,11432,40.711754,-73.80078,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,4846303,Sedan,40.711754,-73.80078,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",164 ST,86 AVE,Sedan,,
2025-09-30T00:00:00.000,20:16,BROOKLYN,11223,40.60115,-73.978386,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4846497,Sedan,40.60115,-73.978386,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",W 6 ST,AVENUE S,Sedan,,
2025-09-30T00:00:00.000,20:29,MANHATTAN,10018,40.757732,-73.99685,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4846783,Moped,40.757732,-73.99685,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",10 AVE,W 39 ST,Moped,,
2025-09-30T00:00:00.000,17:17,,,40.673107,-73.99959,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,4846434,Sedan,40.673107,-73.99959,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",BROOKLYN QUEENS EXPRESSWAY,,Station Wagon/Sport Utility Vehicle,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
2025-09-30T00:00:00.000,11:35,BROOKLYN,11203,40.652462,-73.92285,,0,0,0,0,0,0,0,0,Other Vehicular,,4846583,Station Wagon/Sport Utility Vehicle,40.652462,-73.92285,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",CHURCH AVE,KINGS HWY,Sedan,,
2025-09-30T00:00:00.000,9:30,STATEN ISLAND,10301,40.64305,-74.07712,130       STUYVESANT PL,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4846541,Sedan,40.64305,-74.07712,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Bus,,
2025-09-30T00:00:00.000,22:30,QUEENS,11364,40.746696,-73.75751,219-10    64 AVE,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,4846602,Station Wagon/Sport Utility Vehicle,40.746696,-73.75751,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,13:48,BROOKLYN,11211,40.71437,-73.94607,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,4846424,Pick-up Truck,40.71437,-73.94607,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",METROPOLITAN AVE,MANHATTAN AVE,Station Wagon/Sport Utility Vehicle,Unspecified,Station Wagon/Sport Utility Vehicle
2025-09-30T00:00:00.000,10:03,BROOKLYN,11208,40.6656,-73.874306,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,4846377,Station Wagon/Sport Utility Vehicle,40.6656,-73.874306,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",LINDEN BLVD,MONTAUK AVE,Sedan,,
2025-09-30T00:00:00.000,17:45,BROOKLYN,11220,40.644062,-74.01878,5622      3 AVE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4846458,Van,40.644062,-74.01878,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,19:50,QUEENS,11417,40.679276,-73.83565,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,4846674,Taxi,40.679276,-73.83565,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",104 ST,ROCKAWAY BLVD,,,
2025-09-30T00:00:00.000,6:57,BROOKLYN,11208,40.676445,-73.87773,134       MILFORD ST,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4846372,Sedan,40.676445,-73.87773,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,,,
2025-09-30T00:00:00.000,8:55,,,40.809284,-73.92927,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,4846295,Station Wagon/Sport Utility Vehicle,40.809284,-73.92927,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",MAJOR DEEGAN EXPRESSWAY,,Dump,,
2025-09-30T00:00:00.000,8:00,BROOKLYN,11226,40.65542,-73.94869,350       CLARKSON AVE,1,0,0,0,0,0,1,0,,,4846501,,40.65542,-73.94869,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,,,
2025-09-30T00:00:00.000,17:33,QUEENS,11691,40.60218,-73.7537,20-05     CORNAGA AVE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,4846691,Sedan,40.60218,-73.7537,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Sedan,,
2025-09-30T00:00:00.000,16:30,BROOKLYN,11226,40.649826,-73.961655,1916      CHURCH AVE,0,0,0,0,0,0,0,0,Obstruction/Debris,Unspecified,4846466,Station Wagon/Sport Utility Vehicle,40.649826,-73.961655,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Bike,,
2025-09-30T00:00:00.000,8:10,BROOKLYN,11215,40.672295,-73.990524,442       3 AVE,1,0,0,0,0,0,0,0,Unsafe Speed,Failure to Yield Right-of-Way,4846902,Standing S,40.672295,-73.990524,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Pick-up Truck,,
2025-09-30T00:00:00.000,23:00,MANHATTAN,10036,40.764904,-73.99814,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4846526,Station Wagon/Sport Utility Vehicle,40.764904,-73.99814,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",12 AVE,W 47 ST,,,
2025-09-30T00:00:00.000,14:00,QUEENS,11365,40.738373,-73.79427,174-02    HORACE HARDING EXPY,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,4846410,Station Wagon/Sport Utility Vehicle,40.738373,-73.79427,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,9:25,QUEENS,11434,40.66454,-73.822754,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,4846818,Bus,40.66454,-73.822754,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",S CONDUIT AVE,LEFFERTS BLVD,Sedan,,
2025-09-30T00:00:00.000,9:00,QUEENS,11436,40.66767,-73.799446,138-10    135 AVE,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,4846385,Station Wagon/Sport Utility Vehicle,40.66767,-73.799446,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,,,
2025-09-30T00:00:00.000,18:23,BROOKLYN,11209,40.63195,-74.03038,7501      RIDGE BLVD,1,0,0,0,0,0,0,0,Unspecified,Unspecified,4846446,Sedan,40.63195,-74.03038,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Standing S,,
2025-09-30T00:00:00.000,13:00,BRONX,10474,40.81654,-73.88262,772       EDGEWATER RD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4846357,Tractor Truck Diesel,40.81654,-73.88262,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Tractor Truck Diesel,,
