crash_date,crash_time,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,vehicle_type_code2,latitude,longitude,location.latitude,location.longitude,on_street_name,off_street_name,borough,zip_code,contributing_factor_vehicle_3,vehicle_type_code_3,cross_street_name,contributing_factor_vehicle_4,vehicle_type_code_4,contributing_factor_vehicle_5,vehicle_type_code_5
2012-07-02T00:00:00.000,19:15,2,0,0,0,0,0,2,0,Fatigued/Drowsy,Unspecified,268114,PASSENGER VEHICLE,PASSENGER VEHICLE,40.6823781,-73.7671566,40.6823781,-73.7671566,MERRICK BOULEVARD               ,URSINA ROAD                     ,QUEENS,11434,,,,,,,
2012-07-02T00:00:00.000,14:00,0,0,0,0,0,0,0,0,Unspecified,Unspecified,147461,SPORT UTILITY / STATION WAGON,AMBULANCE,,,,,EAST 31 STREET                  ,FLATBUSH AVENUE                 ,,,,,,,,,
2012-07-02T00:00:00.000,14:20,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,2864066,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,40.8052248,-73.9321277,40.8052248,-73.9321277,,,,,,,,,,,
2012-07-02T00:00:00.000,17:15,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,259367,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,40.7518951,-73.7798059,40.7518951,-73.7798059,FRANCIS LEWIS BOULEVARD         ,48 AVENUE                       ,QUEENS,11365,,,,,,,
2012-07-02T00:00:00.000,12:00,0,0,0,0,0,0,0,0,Unspecified,Unspecified,284655,PASSENGER VEHICLE,PASSENGER VEHICLE,40.6453579,-74.0807292,40.6453579,-74.0807292,,,STATEN ISLAND,10301,,,P/L 185 ST MARKS PL                     ,,,,
2012-07-02T00:00:00.000,21:10,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,80834,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,,WHITE PLAINS ROAD               ,BRUCKNER BOULEVARD              ,,,,,,,,,
2012-07-02T00:00:00.000,12:30,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,37648,TAXI,TAXI,40.7629663,-73.9739693,40.7629663,-73.9739693,WEST 57 STREET                  ,5 AVENUE                        ,MANHATTAN,10019,,,,,,,
2012-07-02T00:00:00.000,16:30,0,1,0,0,0,0,0,1,View Obstructed/Limited,Unspecified,179420,FIRE TRUCK,OTHER,40.6858460,-73.9473101,40.685846,-73.9473101,MARCY AVENUE                    ,MONROE STREET                   ,BROOKLYN,11216,,,,,,,
2012-07-02T00:00:00.000,14:44,1,0,0,0,1,0,0,0,Passenger Distraction,Unspecified,198161,VAN,BICYCLE,40.7262605,-73.9552191,40.7262605,-73.9552191,MESEROLE AVENUE                 ,CLIFFORD PLACE                  ,BROOKLYN,11222,,,,,,,
2012-07-02T00:00:00.000,9:00,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,293155,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,40.5462550,-74.1588658,40.546255,-74.1588658,ARMSTRONG AVENUE                ,AMBOY ROAD                      ,STATEN ISLAND,10312,,,,,,,
2012-07-02T00:00:00.000,14:20,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,102729,PASSENGER VEHICLE,PASSENGER VEHICLE,40.8454263,-73.8449087,40.8454263,-73.8449087,EASTCHESTER ROAD                ,BLONDELL AVENUE                 ,BRONX,10461,,,,,,,
2012-07-02T00:00:00.000,15:13,0,0,0,0,0,0,0,0,Unspecified,Unspecified,106896,PASSENGER VEHICLE,UNKNOWN,40.8828769,-73.9049545,40.8828769,-73.9049545,CORLEAR AVENUE                  ,WEST 234 STREET                 ,BRONX,10463,,,,,,,
2012-07-02T00:00:00.000,19:28,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,65003,PASSENGER VEHICLE,BICYCLE,40.8308918,-73.9413666,40.8308918,-73.9413666,SAINT NICHOLAS AVENUE           ,WEST 155 STREET                 ,MANHATTAN,10032,,,,,,,
2012-07-02T00:00:00.000,17:55,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,85174,LIVERY VEHICLE,PASSENGER VEHICLE,40.8272515,-73.9175325,40.8272515,-73.9175325,MORRIS AVENUE                   ,EAST 163 STREET                 ,BRONX,10451,Unspecified,PASSENGER VEHICLE,,Unspecified,PASSENGER VEHICLE,Unspecified,PASSENGER VEHICLE
2012-07-02T00:00:00.000,15:45,0,0,0,0,0,0,0,0,Unspecified,Unspecified,264085,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,,GRND CNTRL PARKWAY SR EAST      ,JEWEL AVENUE                    ,,,,,,,,,
2012-07-02T00:00:00.000,12:30,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,106898,PASSENGER VEHICLE,PASSENGER VEHICLE,40.8767247,-73.9066592,40.8767247,-73.9066592,EXTERIOR STREET                 ,BROADWAY                        ,BRONX,10463,,,,,,,
2012-07-02T00:00:00.000,16:15,0,0,0,0,0,0,0,0,Unspecified,Unspecified,26095,TAXI,TAXI,40.7561391,-73.9831689,40.7561391,-73.9831689,WEST 44 STREET                  ,6 AVENUE                        ,MANHATTAN,10036,Unspecified,BICYCLE,,,,,
2012-07-02T00:00:00.000,6:25,1,0,1,0,0,0,0,0,View Obstructed/Limited,,92118,PASSENGER VEHICLE,,40.8479015,-73.9196792,40.8479015,-73.9196792,WEST 175 STREET                 ,ANDREWS AVENUE                  ,BRONX,10453,,,,,,,
2012-07-02T00:00:00.000,0:06,1,0,0,0,0,0,1,0,Failure to Keep Right,Unspecified,2912091,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,,,,,,,,,,,,
2012-07-02T00:00:00.000,23:10,4,0,0,0,0,0,4,0,Unspecified,Unspecified,172562,OTHER,PASSENGER VEHICLE,40.6754912,-73.9388426,40.6754912,-73.9388426,BERGEN STREET                   ,ALBANY AVENUE                   ,BROOKLYN,11213,,,,,,,
2012-07-02T00:00:00.000,0:38,0,0,0,0,0,0,0,0,Unspecified,Unspecified,135049,PASSENGER VEHICLE,PASSENGER VEHICLE,40.6659178,-73.9254639,40.6659178,-73.9254639,EAST NEW YORK AVENUE            ,ROCKAWAY PARKWAY                ,BROOKLYN,11213,,,,,,,
2012-07-02T00:00:00.000,18:20,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,187675,VAN,PASSENGER VEHICLE,40.6834193,-73.9819939,40.6834193,-73.9819939,BERGEN STREET                   ,3 AVENUE                        ,BROOKLYN,11217,,,,,,,
2012-07-02T00:00:00.000,9:40,1,0,1,0,0,0,0,0,Unspecified,,80830,PASSENGER VEHICLE,,,,,,WESTCHESTER AVENUE              ,HUGH GRANT CIRCLE               ,,,,,,,,,
2012-07-02T00:00:00.000,14:00,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,233151,PASSENGER VEHICLE,PASSENGER VEHICLE,40.7290066,-73.7978027,40.7290066,-73.7978027,73 AVENUE                       ,172 STREET                      ,QUEENS,11366,,,,,,,
2012-07-02T00:00:00.000,5:40,0,0,0,0,0,0,0,0,Unspecified,Unspecified,172557,PASSENGER VEHICLE,VAN,40.6784553,-73.9496774,40.6784553,-73.9496774,ATLANTIC AVENUE                 ,NOSTRAND AVENUE                 ,BROOKLYN,11216,,,,,,,
2012-07-02T00:00:00.000,1:02,3,0,0,0,0,0,3,0,Driver Inexperience,Driver Inexperience,78658,PASSENGER VEHICLE,PASSENGER VEHICLE,40.8409687,-73.8991740,40.8409687,-73.899174,3 AVENUE                        ,EAST 173 STREET                 ,BRONX,10457,Driver Inexperience,PASSENGER VEHICLE,,,,,
2012-07-02T00:00:00.000,13:30,0,0,0,0,0,0,0,0,Unspecified,Unspecified,16532,TAXI,MOTORCYCLE,40.7625822,-74.0003863,40.7625822,-74.0003863,WEST SIDE HIGHWAY               ,WEST 43 STREET                  ,MANHATTAN,10036,,,,,,,
